learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
10600.0,0.422506,6.53395441671212E-10,10600.0,90.10000000000001,48.847783403947496,47.05882352941179,2.941176470588238,10600.0,1760.0,4.0,-6.0,-6.0,0.0,0.0,0.0,1.0
10700.0,0.424403,6.542591709229676E-10,10700.0,92.9,63.29990695751063,63.775510204081655,35.45454545454549,10700.0,1760.0,4.0,-6.0,-6.0,0.0,0.0,0.0,1.0
10800.0,0.426052,6.550099824865654E-10,10800.0,94.0,67.3629242819843,59.99999999999998,28.571428571428477,10800.0,1760.0,4.0,-6.0,-6.0,0.0,0.0,0.0,1.0
10900.0,0.427867,6.556786100069677E-10,10900.0,93.0,62.31493943472412,51.38888888888893,13.580246913580266,10900.0,1424.0,4.0,-6.0,-6.0,0.0,0.0,0.0,1.0
11000.0,0.429587,6.563869946532774E-10,11000.0,94.89999999999999,68.21400079776623,57.499999999999964,24.99999999999988,11000.0,1592.0,4.0,-6.0,-6.0,0.0,0.0,0.0,1.0
11100.0,0.431172,6.570397793418826E-10,11100.0,95.3,70.06216877293106,60.83333333333329,30.882352941176354,11100.0,1592.0,4.0,-6.0,-6.0,0.0,0.0,0.0,1.0
11200.0,0.433066,6.578198261559004E-10,11200.0,95.3,70.01480120451177,63.281249999999964,34.72222222222212,11200.0,1592.0,4.0,-6.0,-6.0,0.0,0.0,0.0,1.0
11300.0,0.434823,6.585434493091365E-10,11300.0,93.5,62.02827433111347,58.33333333333337,27.777777777777814,11300.0,1592.0,4.0,-6.0,-6.0,0.0,0.0,0.0,1.0
11400.0,0.436406,6.591266103916692E-10,11400.0,92.5,59.23647194382243,57.865168539325886,27.184466019417503,11400.0,1424.0,4.0,-6.0,-6.0,0.0,0.0,0.0,1.0
11500.0,0.438154,6.598465268810583E-10,11500.0,92.10000000000001,65.87473002159828,62.73584905660379,44.36619718309863,11500.0,1592.0,4.0,-6.0,-6.0,0.0,0.0,0.0,1.0
11600.0,0.442229,6.622754161556555E-10,11600.0,91.5,69.83248154457698,60.465116279069775,52.777777777777814,11600.0,2304.0,6.0,-5.0,-5.0,1.0,0.0,0.0,1.0
11700.0,0.443777,6.635344897707297E-10,11700.0,90.7,73.70801764107203,61.08786610878663,60.425531914893625,11700.0,3144.0,6.0,-5.0,-5.0,1.0,0.0,0.0,1.0
11800.0,0.44749,6.675995617277085E-10,11800.0,91.0,77.49381079796946,70.29702970297032,68.64111498257842,11800.0,4232.0,8.0,-4.0,-4.0,2.0,0.0,0.0,1.0
11900.0,0.449874,6.706240669720695E-10,11900.0,91.60000000000001,80.99409912029832,75.86206896551725,75.58139534883722,11900.0,4904.0,8.0,-4.0,-4.0,2.0,0.0,0.0,1.0
12000.0,0.452264,6.739678047597401E-10,12000.0,91.60000000000001,82.11616826130833,79.85611510791368,78.51662404092072,12000.0,5408.0,8.0,-4.0,-4.0,2.0,0.0,0.0,1.0
12100.0,0.455727,6.790420723458123E-10,12100.0,88.9,77.06801090818941,76.1802575107296,73.82075471698114,12100.0,5664.0,8.0,-4.0,-4.0,2.0,0.0,0.0,1.0
12200.0,0.458772,6.846697131792696E-10,12200.0,88.3,76.02950215119853,75.52301255230127,72.79069767441861,12200.0,7144.0,8.0,-4.0,-4.0,2.0,0.0,0.0,1.0
12300.0,0.461079,6.892342120409004E-10,12300.0,89.3,78.01592715259001,76.63755458515284,74.4019138755981,12300.0,7648.0,8.0,-4.0,-4.0,2.0,0.0,0.0,1.0
12400.0,0.463944,6.949027379353833E-10,12400.0,88.6,76.70426679744973,75.21739130434783,73.48837209302326,12400.0,7648.0,8.0,-4.0,-4.0,2.0,0.0,0.0,1.0
12500.0,0.46631,6.99686801267994E-10,12500.0,89.5,78.11606405949097,76.13636363636364,73.61809045226131,12500.0,7816.0,8.0,-4.0,-4.0,2.0,0.0,0.0,1.0
12600.0,0.468833,7.050076271924699E-10,12600.0,88.1,74.06842449335367,71.5311004784689,66.0,12600.0,8152.0,8.0,-4.0,-4.0,2.0,0.0,0.0,1.0
12700.0,0.471358,7.104424118167816E-10,12700.0,87.9,73.0223847320075,72.24770642201835,63.880597014925364,12700.0,8320.0,8.0,-4.0,-4.0,2.0,0.0,0.0,1.0
12800.0,0.474864,7.181410677731029E-10,12800.0,88.3,75.05330490405117,68.63270777479893,68.88297872340425,12800.0,8488.0,8.0,-4.0,-4.0,2.0,0.0,0.0,1.0
12900.0,0.476381,7.215381061865215E-10,12900.0,88.7,74.10751111314788,66.95906432748538,65.75757575757576,12900.0,8656.0,8.0,-4.0,-4.0,2.0,0.0,0.0,1.0
13000.0,0.479143,7.276030485000867E-10,13000.0,88.6,74.644128113879,65.86826347305389,67.42857142857143,13000.0,8488.0,8.0,-4.0,-4.0,2.0,0.0,0.0,1.0
13100.0,0.482373,7.334923806289824E-10,13100.0,91.3,81.88933760772721,70.50847457627121,78.78048780487806,13100.0,7048.0,8.0,-4.0,-4.0,2.0,0.0,0.0,1.0
13200.0,0.484802,7.379212313228176E-10,13200.0,92.30000000000001,84.36090958574691,77.93696275071635,82.92682926829269,13200.0,7048.0,8.0,-4.0,-4.0,2.0,0.0,0.0,1.0
13300.0,0.487473,7.430234986046942E-10,13300.0,92.4,84.80583455952915,80.85642317380353,84.76953907815631,13300.0,7384.0,8.0,-4.0,-4.0,2.0,0.0,0.0,1.0
13400.0,0.489977,7.478067547910736E-10,13400.0,94.39999999999999,88.52792834871819,84.22535211267605,87.9310344827586,13400.0,7384.0,8.0,-4.0,-4.0,2.0,0.0,0.0,1.0
13500.0,0.493557,7.548899389803402E-10,13500.0,92.7,84.34014072421488,80.37634408602152,84.69601677148847,13500.0,7648.0,8.0,-4.0,-4.0,2.0,0.0,0.0,1.0
13600.0,0.496562,7.614884732498055E-10,13600.0,94.6,87.67618491199882,85.6,89.09090909090908,13600.0,8488.0,8.0,-4.0,-4.0,2.0,0.0,0.0,1.0
13700.0,0.502381,7.760966755449764E-10,13700.0,95.5,88.90182306053191,85.66878980891718,89.81900452488686,13700.0,9704.0,10.0,-3.0,-3.0,3.0,0.0,0.0,1.0
13800.0,0.50567,7.847823223306064E-10,13800.0,95.39999999999999,88.49959748591199,85.84615384615383,87.07865168539325,13800.0,10208.0,10.0,-3.0,-3.0,3.0,0.0,0.0,1.0
13900.0,0.509094,7.947173569765348E-10,13900.0,96.2,87.36979253222363,87.70226537216827,88.95348837209302,13900.0,11216.0,10.0,-3.0,-3.0,3.0,0.0,0.0,1.0
14000.0,0.512546,8.047336360646611E-10,14000.0,95.19999999999999,82.37846648604594,82.48175182481751,83.56164383561642,14000.0,11216.0,10.0,-3.0,-3.0,3.0,0.0,0.0,1.0
14100.0,0.516024,8.1497651628322E-10,14100.0,95.0,81.06978434698327,81.06060606060605,74.87437185929645,14100.0,11384.0,10.0,-3.0,-3.0,3.0,0.0,0.0,1.0
