learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),ensemble size,change detections,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
3800.0,0.873746,9.301961587948929E-9,3800.0,98.4,89.93153443415223,88.23529411764704,82.60869565217389,3800.0,40968.0,10.0,11.0,12773.300000000001,8797.07014421405,1992.0,1529.5326809918845,15.000000000000002,12.40071682515885,8.0,6.200358412579425,8.0,6.200358412579425,3.6999999999999997,2.0575065816014617,0.0,0.0,0.0,0.0,1.0,0.0
3900.0,0.88571,9.430321382565627E-9,3900.0,98.4,89.93153443415223,88.23529411764704,82.60869565217389,3900.0,41472.0,10.0,11.0,13386.4,8795.067559591442,1992.0,1529.5326809918845,15.000000000000002,12.40071682515885,8.0,6.200358412579425,8.0,6.200358412579425,3.6999999999999997,2.0575065816014617,0.0,0.0,0.0,0.0,1.0,0.0
4000.0,0.902485,9.613942959242393E-9,4000.0,98.4,91.48936170212765,90.58823529411764,85.45454545454544,4000.0,42312.0,10.0,11.0,13980.800000000003,8787.211993699835,2065.6,1569.630897872349,15.6,12.720936373640983,8.299999999999999,6.3604681868204915,8.299999999999999,6.3604681868204915,3.6999999999999997,2.0575065816014617,0.0,0.0,0.0,0.0,1.0,0.0
4100.0,0.92358,9.846729189157482E-9,4100.0,98.5,93.43475901188746,92.71844660194174,89.05109489051094,4100.0,42656.0,10.0,11.0,14579.5,8784.468936708696,2137.6000000000004,1510.467418457685,16.200000000000003,12.227473619317735,8.600000000000001,6.113736809658867,8.600000000000001,6.113736809658867,3.9,1.728840330651992,0.0,0.0,0.0,0.0,1.0,0.0
4200.0,0.94269,1.0053418353199956E-8,4200.0,98.7,95.76911060195792,95.0381679389313,93.3673469387755,4200.0,41808.0,10.0,12.0,14830.300000000001,9340.314948889274,2112.0,1572.2029837849252,15.999999999999998,12.727922061357855,8.5,6.363961030678928,8.5,6.363961030678928,3.7,2.0575065816014617,0.0,0.0,0.0,0.0,1.0,0.0
4300.0,0.961624,1.0262318464616931E-8,4300.0,98.7,96.39053320154152,96.07250755287009,94.62809917355372,4300.0,42648.0,10.0,12.0,15443.1,9342.105157118853,2208.0,1572.8812909929202,16.8,12.734903917100347,8.9,6.367451958550173,8.9,6.367451958550173,4.0,1.9436506316151,0.0,0.0,0.0,0.0,1.0,0.0
4400.0,0.978801,1.0454108650899592E-8,4400.0,98.3,95.77954319761668,95.61855670103093,94.01408450704226,4400.0,43160.0,10.0,12.0,16040.099999999999,9350.24688265859,2261.6000000000004,1549.2027483694817,17.200000000000003,12.559193180030846,9.100000000000001,6.279596590015423,9.100000000000001,6.279596590015423,4.099999999999999,1.728840330651992,0.0,0.0,0.0,0.0,1.0,0.0
4500.0,0.996126,1.0647551334566536E-8,4500.0,97.7,94.46503345045001,94.23558897243107,92.17687074829931,4500.0,43160.0,10.0,12.0,16640.0,9348.811392067146,2315.2,1529.4220259082624,17.6,12.402508706798887,9.3,6.2012543533994435,9.3,6.2012543533994435,4.3,1.7669811040931427,0.0,0.0,0.0,0.0,1.0,0.0
4600.0,1.009359,1.0797030085490806E-8,4600.0,97.7,94.2384769539078,93.68131868131867,91.63636363636363,4600.0,43664.0,10.0,12.0,17244.9,9361.259464765768,2340.0,1525.6048709355323,17.8,12.372011423639515,9.4,6.186005711819758,9.4,6.186005711819758,4.3,1.7669811040931427,0.0,0.0,0.0,0.0,1.0,0.0
4700.0,1.027918,1.0998527962300509E-8,4700.0,97.39999999999999,93.22634431012922,92.79778393351799,89.99999999999999,4700.0,41968.0,10.0,14.0,15169.599999999999,10942.216647259163,2167.2,1669.3096909933893,16.4,13.533497535949662,8.7,6.766748767974831,8.7,6.766748767974831,4.1,2.4698178070456938,0.0,0.0,0.0,0.0,1.0,0.0
4800.0,1.045803,1.1193485431787036E-8,4800.0,97.39999999999999,93.24327836133908,92.81767955801105,90.03831417624521,4800.0,42136.0,10.0,15.0,15753.2,10964.47677020862,2192.0,1676.563681396498,16.6,13.590846592876808,8.8,6.795423296438404,8.8,6.795423296438404,4.199999999999999,2.5298221281347035,0.0,0.0,0.0,0.0,1.0,0.0
4900.0,1.063447,1.1383478821565703E-8,4900.0,97.39999999999999,93.24327836133908,92.81767955801105,90.03831417624521,4900.0,41624.0,10.0,16.0,13448.2,10993.331613098713,1796.0,1591.4493743475193,13.4,12.920268315067352,7.2,6.460134157533676,7.2,6.460134157533676,3.6999999999999997,2.9078437983419185,0.0,0.0,0.0,0.0,1.0,0.0
5000.0,1.079205,1.1555902943429015E-8,5000.0,97.3,92.6509014894173,91.7933130699088,88.93442622950819,5000.0,42296.0,10.0,16.0,14044.6,10996.892057910421,1820.7999999999997,1605.303211234563,13.600000000000001,13.03158556056101,7.300000000000001,6.515792780280505,7.300000000000001,6.515792780280505,3.8,2.9363620727393656,0.0,0.0,0.0,0.0,1.0,0.0
5100.0,1.094211,1.172140305033988E-8,5100.0,96.89999999999999,90.89306698002349,89.5973154362416,85.90909090909089,5100.0,42632.0,10.0,16.0,14658.9,11006.036328104481,1820.7999999999997,1605.303211234563,13.600000000000001,13.03158556056101,7.300000000000001,6.515792780280505,7.300000000000001,6.515792780280505,3.8,2.9363620727393656,0.0,0.0,0.0,0.0,1.0,0.0
5200.0,1.113349,1.1931682529134878E-8,5200.0,95.8,84.69030677709087,83.96946564885495,75.58139534883719,5200.0,42472.0,10.0,17.0,15065.8,11241.574344073579,1895.2,1558.7274581814772,14.2,12.65613597342324,7.6,6.32806798671162,7.6,6.32806798671162,4.1,2.806737924669451,0.0,0.0,0.0,0.0,1.0,0.0
5300.0,1.131791,1.2130307077119743E-8,5300.0,95.5,82.3168814838101,81.92771084337348,71.69811320754715,5300.0,41632.0,10.0,19.0,14719.199999999999,12150.607335529456,1870.3999999999999,1606.2092848276861,14.0,13.038404810405298,7.499999999999999,6.519202405202648,7.499999999999999,6.519202405202648,3.9,2.884826203122507,0.0,0.0,0.0,0.0,1.0,0.0
